ID;URL;Name;NameWithOwner;Stargazers;PullRequests;AcceptedPullRequests;Releases;PrimaryLanguage;createdAt;updatedAt;closedIssues;totalIssues
MDEwOlJlcG9zaXRvcnk1Mzg3NDY=;https://github.com/ruby/ruby;ruby;ruby/ruby;20012;7404;3884;4;Ruby;2010-02-27T15:55:23Z;2023-03-05T06:35:50Z;0;0
MDEwOlJlcG9zaXRvcnkxOTk1MzA0NA==;https://github.com/google/flatbuffers;flatbuffers;google/flatbuffers;20008;2279;1711;32;C++;2014-05-19T18:33:01Z;2023-03-04T01:02:14Z;1996;2160
MDEwOlJlcG9zaXRvcnk2NTg0ODA5NQ==;https://github.com/requarks/wiki;wiki;requarks/wiki;19989;591;348;112;Vue;2016-08-16T19:35:26Z;2023-02-18T02:41:42Z;2406;2461
R_kgDOIjPLxQ;https://github.com/acheong08/ChatGPT;ChatGPT;acheong08/ChatGPT;19986;226;176;168;Python;2022-12-03T14:35:24Z;2023-03-05T13:43:10Z;593;607
MDEwOlJlcG9zaXRvcnk0MTY1NDA4MQ==;https://github.com/drduh/macOS-Security-and-Privacy-Guide;macOS-Security-and-Privacy-Guide;drduh/macOS-Security-and-Privacy-Guide;19985;160;140;0;Python;2015-08-31T03:36:35Z;2022-12-26T19:09:54Z;235;248
MDEwOlJlcG9zaXRvcnkzNjA2NjI0;https://github.com/ReactiveCocoa/ReactiveCocoa;ReactiveCocoa;ReactiveCocoa/ReactiveCocoa;19976;1720;1348;83;Swift;2012-03-02T22:11:24Z;2022-07-04T00:39:45Z;2002;2004
MDEwOlJlcG9zaXRvcnkxNjc1OTYzOTM=;https://github.com/derailed/k9s;k9s;derailed/k9s;19975;610;324;194;Go;2019-01-25T18:46:02Z;2023-02-14T00:14:23Z;1025;1384
MDEwOlJlcG9zaXRvcnk5NDA2MTMwNw==;https://github.com/vadimdemedes/ink;ink;vadimdemedes/ink;19973;244;171;44;TypeScript;2017-06-12T06:12:28Z;2023-03-03T21:19:03Z;221;293
MDEwOlJlcG9zaXRvcnk0NTk0MjI3NA==;https://github.com/enzymejs/enzyme;enzyme;enzymejs/enzyme;19966;809;646;0;JavaScript;2015-11-10T21:45:38Z;2022-12-20T19:39:39Z;1509;1766
MDEwOlJlcG9zaXRvcnk1NDE2ODc1OQ==;https://github.com/SergioBenitez/Rocket;Rocket;SergioBenitez/Rocket;19963;702;14;53;Rust;2016-03-18T02:50:18Z;2023-01-31T20:17:42Z;1307;1416
